id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other
4215,71.66,2015,2431.300781,356.53,0,412.5,200,43.33333333,1,908,200,0,206.25,344,200,2871.613333,2515.083333
3006,96.67,2015,2993.045898,356.53,0,0,0,0,0,392,120,0,0,12,530,1410.53,1054
23303,40.08,2015,1354.269531,656.7603732,0,0,0,0,0,0,20,0,0,0,0,676.7603732,20
41215,131.6,2015,1530,412.13,0,0,250,49.9,0,0,120,0,0,32,81.8,945.83,533.7
50302,68.79,2015,1344.69812,421.87,781.7232,29.16666667,0,0,0,0,160,0,0,0,159.9,1552.659867,1130.789867
26905,79.3,2015,900,536.9978117,0,0,0,0,0,60,40,0,0,100,0,736.9978117,200
2615,46.85,2015,5279.529785,358.65,170.06724,0,460,152,0,400,80,0,0,0,388,2008.71724,1650.06724
11510,158.13,2015,2030.833252,390.18,0,37.5,0,0,1,276.4,30,0,0,41.10000134,148,924.1800013,534.0000013
47615,167.84,2015,14900,493.32,792.6768,150,450,375,0,7783.333333,420,0,0,130,200,10794.33013,10301.01013
23011,135.47,2015,402.333313,329.2,0,37.5,0,0,0,0,100,0,0,0,0,466.7,137.5
41810,85.15,2015,2692.856445,959.8411524,0,333.3333333,190,0,22.83333333,64,20,0,179.9999995,20,108,1898.007819,938.1666661
35613,40.87,2015,5066.726563,1222.55,0,598.1333333,3244.241844,258.7,5,80,400,300,95,0,1748.4,7952.025177,6729.475177
16402,119.03,2015,3149.121582,660.8050117,0,191.6666667,100,316.6666667,0,280,480,0,0,0,0,2029.138345,1368.333333
29110,60.32,2015,1703.493408,312.33,78.372,188.3333333,240,0,0,58.33333333,200,0,0,0,32,1109.368667,797.0386666
35408,74.44,2015,3302.970459,399.3,0,0,200,0,0,0,240,0,54.16666794,0,150,1043.466668,644.1666679
51812,91.13,2015,4370.912109,846.15,0,86.16666667,460.2999646,59.9,185.6666667,4512,60,0,0,588.6666667,37.53333333,6836.383298,5990.233298
3104,61.82,2015,12200,356.53,0,158.3333333,420,0,0,0,400,0,0,14,0,1348.863333,992.3333333
38815,79.26,2015,2980.560059,413.83,0,0,28,464.6666667,0,160,100,0,95.16666508,0,332,1593.663332,1179.833332
15202,67.95,2015,1208.333374,361.46,0,29.16666667,50,0,22,180,110,0,0,120,800,1672.626667,1311.166667
14706,98.02,2015,4163.756836,361.46,0,316.6666667,0,750,66.66666667,4851.666667,0,0,91.66666794,44,0,6482.126668,6120.666668
27405,69.52,2015,4461.066406,469.3965645,0,0,0,15.7,0,1411.083334,440,100,0,26,87.9,2550.079899,2080.683334
44413,73.24,2015,2263.801025,390.09,0,133.3333333,196.666666,0,20.83333333,12.91666698,80,0,1.666666627,92,229,1156.506666,766.4166662
46502,73.42,2015,2398.446777,409.16,0,632.3,1162.394891,39.7,55,88,120,41.66666667,43.33333206,0,1680.7,4272.25489,3863.09489
21510,80.49,2015,524.3373413,410.45,0,133.3333333,328.5848723,1166.666667,104.1666667,5425,1200,0,0,0,800,9568.201539,9157.751539
4011,120.98,2015,3670,356.53,0,33.33333333,70,500.9133333,0,458,464,140.8333333,182.6666718,464,513.9,3184.176672,2827.646672
28410,129.76,2015,94.16666412,357.3980777,0,0,12.5,0,0,0,0,0,0,0,0,369.8980777,12.5
9303,90.77,2015,12615.28027,386.41,0,0,0,0,40,0,400,0,134.1666641,444,1200,2604.576664,2218.166664
