Taxpayer_ID,Year,Sector,Sector_Code,weight,Revenues,Other_revenues,Expenses,Net_accounting_profit,Total_additions_to_GP,Other_deductions,Investment_incentive,Carried_forward_losses,Op_WDV_Comp,Op_WDV_Mach,Op_WDV_Bld,Op_WDV_Others,sch2_wdv_beg_year_class_20,Tax_depr_Intang,Add_Bld,Add_Comp,Add_Mach,Add_Others,sch2_addinit_during_yr_class_20,Excl_Comp,Excl_Mach,Excl_Others,sch2_dispsl_class_20,Loss_lag8,Loss_lag7,Loss_lag6,Loss_lag5,Loss_lag4,Loss_lag3,Loss_lag2,Loss_lag1
56074,2023,Q-Human health and social work activities,17,1,953810000,0,855170000,98640000,855170000,0,953810000,14553908,12386640,32444152,0,0,0,0,0,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56076,2023,Q-Human health and social work activities,17,1,566547600,0,553033155,13514445,680709,0,0,0,599997,1606776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56081,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1833470254,0,1884114918,-50644664,29137762,0,0,0,1169491.53,142752542.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56088,2023,C-Manufacturing,2,1,293090000,0,291353199,1736801,593999,0,0,0,0,1469973,0,1000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56096,2023,H-Transportation and storage,7,1,3737861937,0,3789222307,-51360370,3343684,0,0,0,1409184,11690175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56105,2023,F-Construction,5,1,378429576,0,384631090,-6201514,11820400,0,0,0,0,0,0,83933600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56111,2023,I-Accommodation and food service activities,8,1,2105932638,0,1589571767,516360871,249845336,0,0,176367372,0,759057435.4,2875314560,15400000,0,0,143765728,24000000,469544249.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56114,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,11537896410,0,11413099391,124797019,281277000,89862311,0,0,31506224,429320957.7,185007980,40180000,0,0,9250399,950000,33434406.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56119,2023,F-Construction,5,1,151030000,0,156744500,-5714500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56122,2023,F-Construction,5,1,885431878,0,918908528,-33476650,71656492,0,0,36359537,3925285,9643368,0,91034078,0,0,0,0,0,240385962,0,0,0,0,0,0,0,0,0,0,0,0,0
56125,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,6437675490,0,6433710315,3965175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56129,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1521299995,0,1430881739,90418256,2130751,0,0,0,4046340,10176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56130,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1945783356,0,1944710502,1072854,177684,0,0,0,0,1421472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56135,2023,F-Construction,5,1,225345679,0,188075241,37270438,160284,0,0,0,0,655360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56140,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,615032100,0,609645804,5386296,3111194,0,0,0,370881.72,13512239.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56149,2023,Q-Human health and social work activities,17,1,182600000,0,179459048,3140952,17695000,0,0,0,0,0,0,0,0,0,0,4500000,87200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56155,2023,C-Manufacturing,2,1,554002942,0,579440842,-25437900,26213325,0,0,152242107,3937200,42782080,200000000,13650000,0,0,10000000,250000,1000000,15300000,0,0,0,0,0,0,0,0,0,0,0,0,0
56159,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,754617906,0,686456788,68161118,650000,0,0,0,0,0,0,0,0,0,0,0,3250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56160,2023,F-Construction,5,1,2535569970,0,5331242736,-2795672766,775031848,0,0,0,4366408,278937088,0,1613222856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56170,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,722603240,0,695233566,27369674,486367,0,0,0,0,734784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
