id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
9610,76.35,2015,129266.71871999999,533.46,0.0,7599.999999600001,4800.0,2226.0,3401.0000004000003,12720.0,4800.0,2952.0,3639.9999384,0.0,4989.6,47662.059938399994,47128.599938399995,6401.52
48808,92.22,2015,17415.842279999997,411.73,0.0,249.99999995999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.72999996,249.99999995999997,4940.76
27906,81.11,2015,16812.7998,356.0,0.0,35.000000004,120.0,800.00000004,0.0,0.0,0.0,0.0,0.0,0.0,1184.00000004,2495.000000084,2139.000000084,4272.0
53815,78.28,2015,19065.023436,415.17,9404.64,0.0,0.0,576.0,0.0,576.0,960.0,0.0,0.0,0.0,288.0,12219.81,11804.64,4982.04
53202,52.46,2015,499121.53128,439.34,0.0,0.0,3600.0,0.0,0.0,50000.000004,0.0,999.99999996,0.0,0.0,1248.0,56287.340003959995,55848.00000396,5272.08
47514,154.48,2015,11157.5998536,493.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,601.3199999999999,108.0,5919.84
40409,105.24,2015,1383.3599856,388.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2299.9999692,0.0,0.0,2688.9199692,2299.9999692,4667.04
33903,107.63,2015,4648.9511724,428.52,1612.2240000000002,549.99999996,240.0,0.0,0.0,336.0,1680.0,500.00000004,0.0,4920.0,0.0,10266.744,9838.224,5142.24
4215,71.66,2015,29175.609372,356.53,0.0,4950.0,2400.0,519.99999996,12.0,10896.0,2400.0,0.0,2475.0,4128.0,2400.0,30537.52999996,30180.99999996,4278.36
3006,96.67,2015,35916.550776,356.53,0.0,0.0,0.0,0.0,0.0,4704.0,1440.0,0.0,0.0,144.0,6360.0,13004.53,12648.0,4278.36
23303,40.08,2015,16251.234371999999,656.7603732,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,896.7603732,240.0,7881.1244784
41215,131.6,2015,18360.0,412.13,0.0,0.0,3000.0,598.8,0.0,0.0,1440.0,0.0,0.0,384.0,981.5999999999999,6816.53,6404.4,4945.5599999999995
50302,68.79,2015,16136.37744,421.87,9380.6784,350.00000004000003,0.0,0.0,0.0,0.0,1920.0,0.0,0.0,0.0,1918.8000000000002,13991.34840004,13569.47840004,5062.4400000000005
26905,79.3,2015,10800.0,536.9978117,0.0,0.0,0.0,0.0,0.0,720.0,480.0,0.0,0.0,1200.0,0.0,2936.9978117,2400.0,6443.973740400001
2615,46.85,2015,63354.35742,358.65,2040.80688,0.0,5520.0,1824.0,0.0,4800.0,960.0,0.0,0.0,0.0,4656.0,20159.45688,19800.80688,4303.799999999999
11510,158.13,2015,24369.999023999997,390.18,0.0,450.0,0.0,0.0,12.0,3316.7999999999997,360.0,0.0,0.0,493.20001607999995,1776.0,6798.180016079999,6408.000016079999,4682.16
47615,167.84,2015,178800.0,493.32,9512.121599999999,1800.0,5400.0,4500.0,0.0,93399.999996,5040.0,0.0,0.0,1560.0,2400.0,124105.441596,123612.121596,5919.84
23011,135.47,2015,4827.999755999999,329.2,0.0,450.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,1979.2,1650.0,3950.3999999999996
41810,85.15,2015,32314.27734,959.8411524,0.0,3999.9999995999997,2280.0,0.0,273.99999995999997,768.0,240.0,0.0,2159.999994,240.0,1296.0,12217.84114596,11257.999993559999,11518.0938288
35613,40.87,2015,60800.718756,1222.55,0.0,7177.5999996,38930.902128,3104.3999999999996,60.0,960.0,4800.0,3600.0,1140.0,0.0,20980.800000000003,81976.2521276,80753.7021276,14670.599999999999
16402,119.03,2015,37789.458984000004,660.8050117,0.0,2300.0000004000003,1200.0,3800.0000004000003,0.0,3360.0,5760.0,0.0,0.0,0.0,0.0,17080.805012499997,16420.0000008,7929.6601404
29110,60.32,2015,20441.920896,312.33,940.4639999999999,2259.9999995999997,2880.0,0.0,0.0,699.99999996,2400.0,0.0,0.0,0.0,384.0,9876.793999559999,9564.46399956,3747.96
35408,74.44,2015,39635.645508,399.3,0.0,0.0,2400.0,0.0,0.0,0.0,2880.0,0.0,650.0000152800001,0.0,1800.0,8129.3000152800005,7730.00001528,4791.6
51812,91.13,2015,52450.945307999995,846.15,0.0,1034.00000004,5523.5995752,718.8,2228.0000004000003,54144.0,720.0,0.0,0.0,7064.000000399999,450.39999995999995,72728.949576,71882.799576,10153.8
3104,61.82,2015,146400.0,356.53,0.0,1899.9999996,5040.0,0.0,0.0,0.0,4800.0,0.0,0.0,168.0,0.0,12264.529999600001,11907.9999996,4278.36
38815,79.26,2015,35766.720708,413.83,0.0,0.0,336.0,5576.0000004,0.0,1920.0,1200.0,0.0,1141.99998096,0.0,3984.0,14571.829981359999,14157.999981359999,4965.96
15202,67.95,2015,14500.000488000001,361.46,0.0,350.00000004000003,600.0,0.0,264.0,2160.0,1320.0,0.0,0.0,1440.0,9600.0,16095.460000039999,15734.00000004,4337.5199999999995
14706,98.02,2015,49965.08203199999,361.46,0.0,3800.0000004000003,0.0,9000.0,800.00000004,58220.000004,0.0,0.0,1100.0000152799998,528.0,0.0,73809.46001972,73448.00001972,4337.5199999999995
27405,69.52,2015,53532.796872,469.3965645,0.0,0.0,0.0,188.39999999999998,0.0,16933.000008,5280.0,1200.0,0.0,312.0,1054.8000000000002,25437.5965725,24968.200008,5632.758774
