      weight_2015  vatax_2015 GROSS_INCOME_2015   weight_2016  vatax_2016 GROSS_INCOME_2016   weight_2017  vatax_2017 GROSS_INCOME_2017   weight_2018  vatax_2018 GROSS_INCOME_2018   weight_2019  vatax_2019 GROSS_INCOME_2019   weight_2020  vatax_2020 GROSS_INCOME_2020   weight_2021   vatax_2021 GROSS_INCOME_2021   weight_2022  vatax_2022 GROSS_INCOME_2022   weight_2023   vatax_2023 GROSS_INCOME_2023   weight_2024   vatax_2024 GROSS_INCOME_2024 weight_ref_2024 vatax_ref_2024 GROSS_INCOME_ref_2024 weight_ref_2025 vatax_ref_2025 GROSS_INCOME_ref_2025 weight_ref_2026 vatax_ref_2026 GROSS_INCOME_ref_2026 weight_ref_2027 vatax_ref_2027 GROSS_INCOME_ref_2027 weight_ref_2028 vatax_ref_2028 GROSS_INCOME_ref_2028 weight_ref_2029 vatax_ref_2029 GROSS_INCOME_ref_2029 weight_ref_2030 vatax_ref_2030 GROSS_INCOME_ref_2030      ETR  ETR_ref
21     9,603.1059     16.0000           94.0000    9,603.1059     19.0000           94.0000    9,603.1059     22.0000           94.0000    9,603.1059     21.0000           94.0000    9,603.1059     23.0000           94.0000    9,603.1059     22.0000           94.0000    9,603.1059      31.0000           94.0000    9,603.1059     27.0000           94.0000    9,603.1059      29.0000           94.0000    9,603.1059      32.0000           94.0000      9,603.1059        31.0000               94.0000      9,603.1059        33.0000               94.0000      9,603.1059        35.0000               94.0000      9,603.1059        38.0000               94.0000      9,603.1059        41.0000               94.0000      9,603.1059        43.0000               94.0000      9,603.1059        47.0000               94.0000   0.3404   0.3298
22     9,533.9630     20.0000           99.0000    9,533.9630     23.0000           99.0000    9,533.9630     27.0000           99.0000    9,533.9630     26.0000           99.0000    9,533.9630     29.0000           99.0000    9,533.9630     28.0000           99.0000    9,533.9630      39.0000           99.0000    9,533.9630     33.0000           99.0000    9,533.9630      36.0000           99.0000    9,533.9630      40.0000           99.0000      9,533.9630        39.0000               99.0000      9,533.9630        41.0000               99.0000      9,533.9630        44.0000               99.0000      9,533.9630        47.0000               99.0000      9,533.9630        51.0000               99.0000      9,533.9630        54.0000               99.0000      9,533.9630        58.0000               99.0000   0.4040   0.3939
23     9,602.1354     16.0000          106.0000    9,602.1354     19.0000          106.0000    9,602.1354     23.0000          106.0000    9,602.1354     21.0000          106.0000    9,602.1354     24.0000          106.0000    9,602.1354     23.0000          106.0000    9,602.1354      32.0000          106.0000    9,602.1354     27.0000          106.0000    9,602.1354      30.0000          106.0000    9,602.1354      33.0000          106.0000      9,602.1354        32.0000              106.0000      9,602.1354        34.0000              106.0000      9,602.1354        36.0000              106.0000      9,602.1354        39.0000              106.0000      9,602.1354        41.0000              106.0000      9,602.1354        44.0000              106.0000      9,602.1354        47.0000              106.0000   0.3113   0.3019
24     9,508.9260     17.0000          110.0000    9,508.9260     20.0000          110.0000    9,508.9260     23.0000          110.0000    9,508.9260     22.0000          110.0000    9,508.9260     24.0000          110.0000    9,508.9260     23.0000          110.0000    9,508.9260      33.0000          110.0000    9,508.9260     28.0000          110.0000    9,508.9260      30.0000          110.0000    9,508.9260      34.0000          110.0000      9,508.9260        33.0000              110.0000      9,508.9260        35.0000              110.0000      9,508.9260        37.0000              110.0000      9,508.9260        40.0000              110.0000      9,508.9260        43.0000              110.0000      9,508.9260        46.0000              110.0000      9,508.9260        49.0000              110.0000   0.3091   0.3000
25     9,529.2403     23.0000          115.0000    9,529.2403     28.0000          115.0000    9,529.2403     32.0000          115.0000    9,529.2403     31.0000          115.0000    9,529.2403     34.0000          115.0000    9,529.2403     33.0000          115.0000    9,529.2403      46.0000          115.0000    9,529.2403     39.0000          115.0000    9,529.2403      42.0000          115.0000    9,529.2403      47.0000          115.0000      9,529.2403        46.0000              115.0000      9,529.2403        49.0000              115.0000      9,529.2403        52.0000              115.0000      9,529.2403        56.0000              115.0000      9,529.2403        60.0000              115.0000      9,529.2403        64.0000              115.0000      9,529.2403        69.0000              115.0000   0.4087   0.4000
26     9,514.6516     21.0000          119.0000    9,514.6516     25.0000          119.0000    9,514.6516     30.0000          119.0000    9,514.6516     28.0000          119.0000    9,514.6516     31.0000          119.0000    9,514.6516     30.0000          119.0000    9,514.6516      42.0000          119.0000    9,514.6516     36.0000          119.0000    9,514.6516      39.0000          119.0000    9,514.6516      43.0000          119.0000      9,514.6516        42.0000              119.0000      9,514.6516        45.0000              119.0000      9,514.6516        48.0000              119.0000      9,514.6516        51.0000              119.0000      9,514.6516        55.0000              119.0000      9,514.6516        59.0000              119.0000      9,514.6516        63.0000              119.0000   0.3613   0.3529
27     9,524.8572     23.0000          124.0000    9,524.8572     28.0000          124.0000    9,524.8572     32.0000          124.0000    9,524.8572     31.0000          124.0000    9,524.8572     34.0000          124.0000    9,524.8572     33.0000          124.0000    9,524.8572      46.0000          124.0000    9,524.8572     39.0000          124.0000    9,524.8572      42.0000          124.0000    9,524.8572      47.0000          124.0000      9,524.8572        46.0000              124.0000      9,524.8572        49.0000              124.0000      9,524.8572        52.0000              124.0000      9,524.8572        56.0000              124.0000      9,524.8572        60.0000              124.0000      9,524.8572        64.0000              124.0000      9,524.8572        69.0000              124.0000   0.3790   0.3710
28     9,617.6299     37.0000          131.0000    9,617.6299     44.0000          131.0000    9,617.6299     52.0000          131.0000    9,617.6299     49.0000          131.0000    9,617.6299     54.0000          131.0000    9,617.6299     52.0000          131.0000    9,617.6299      73.0000          131.0000    9,617.6299     63.0000          131.0000    9,617.6299      68.0000          131.0000    9,617.6299      75.0000          131.0000      9,617.6299        74.0000              131.0000      9,617.6299        79.0000              131.0000      9,617.6299        85.0000              131.0000      9,617.6299        91.0000              131.0000      9,617.6299        97.0000              131.0000      9,617.6299       104.0000              131.0000      9,617.6299       112.0000              131.0000   0.5725   0.5649
29     9,546.4330     20.0000          136.0000    9,546.4330     24.0000          136.0000    9,546.4330     28.0000          136.0000    9,546.4330     27.0000          136.0000    9,546.4330     29.0000          136.0000    9,546.4330     28.0000          136.0000    9,546.4330      40.0000          136.0000    9,546.4330     34.0000          136.0000    9,546.4330      37.0000          136.0000    9,546.4330      41.0000          136.0000      9,546.4330        40.0000              136.0000      9,546.4330        43.0000              136.0000      9,546.4330        46.0000              136.0000      9,546.4330        49.0000              136.0000      9,546.4330        52.0000              136.0000      9,546.4330        56.0000              136.0000      9,546.4330        60.0000              136.0000   0.3015   0.2941
30     9,535.0952     24.0000          140.0000    9,535.0952     28.0000          140.0000    9,535.0952     33.0000          140.0000    9,535.0952     31.0000          140.0000    9,535.0952     34.0000          140.0000    9,535.0952     33.0000          140.0000    9,535.0952      47.0000          140.0000    9,535.0952     40.0000          140.0000    9,535.0952      43.0000          140.0000    9,535.0952      48.0000          140.0000      9,535.0952        47.0000              140.0000      9,535.0952        50.0000              140.0000      9,535.0952        53.0000              140.0000      9,535.0952        57.0000              140.0000      9,535.0952        61.0000              140.0000      9,535.0952        65.0000              140.0000      9,535.0952        70.0000              140.0000   0.3429   0.3357
