      weight_2015  vatax_2015 GROSS_INCOME_2015   weight_2016  vatax_2016 GROSS_INCOME_2016   weight_2017  vatax_2017 GROSS_INCOME_2017   weight_2018  vatax_2018 GROSS_INCOME_2018   weight_2019  vatax_2019 GROSS_INCOME_2019   weight_2020  vatax_2020 GROSS_INCOME_2020   weight_2021  vatax_2021 GROSS_INCOME_2021   weight_2022  vatax_2022 GROSS_INCOME_2022   weight_2023  vatax_2023 GROSS_INCOME_2023   weight_2024   vatax_2024 GROSS_INCOME_2024 weight_ref_2024 vatax_ref_2024 GROSS_INCOME_ref_2024 weight_ref_2025 vatax_ref_2025 GROSS_INCOME_ref_2025 weight_ref_2026 vatax_ref_2026 GROSS_INCOME_ref_2026 weight_ref_2027 vatax_ref_2027 GROSS_INCOME_ref_2027 weight_ref_2028 vatax_ref_2028 GROSS_INCOME_ref_2028 weight_ref_2029 vatax_ref_2029 GROSS_INCOME_ref_2029 weight_ref_2030 vatax_ref_2030 GROSS_INCOME_ref_2030      ETR  ETR_ref
23     9,602.1354     14.0000          106.0000    9,602.1354     17.0000          106.0000    9,602.1354     20.0000          106.0000    9,602.1354     19.0000          106.0000    9,602.1354     21.0000          106.0000    9,602.1354     20.0000          106.0000    9,602.1354     28.0000          106.0000    9,602.1354     24.0000          106.0000    9,602.1354     26.0000          106.0000    9,602.1354      29.0000          106.0000      9,602.1354        29.0000              106.0000      9,602.1354        31.0000              106.0000      9,602.1354        34.0000              106.0000      9,602.1354        36.0000              106.0000      9,602.1354        38.0000              106.0000      9,602.1354        41.0000              106.0000      9,602.1354        44.0000              106.0000   0.2736   0.2736
24     9,508.9260     15.0000          110.0000    9,508.9260     18.0000          110.0000    9,508.9260     21.0000          110.0000    9,508.9260     20.0000          110.0000    9,508.9260     22.0000          110.0000    9,508.9260     21.0000          110.0000    9,508.9260     30.0000          110.0000    9,508.9260     25.0000          110.0000    9,508.9260     27.0000          110.0000    9,508.9260      31.0000          110.0000      9,508.9260        31.0000              110.0000      9,508.9260        33.0000              110.0000      9,508.9260        35.0000              110.0000      9,508.9260        37.0000              110.0000      9,508.9260        40.0000              110.0000      9,508.9260        43.0000              110.0000      9,508.9260        46.0000              110.0000   0.2818   0.2818
25     9,529.2403     21.0000          115.0000    9,529.2403     25.0000          115.0000    9,529.2403     29.0000          115.0000    9,529.2403     28.0000          115.0000    9,529.2403     31.0000          115.0000    9,529.2403     30.0000          115.0000    9,529.2403     42.0000          115.0000    9,529.2403     36.0000          115.0000    9,529.2403     38.0000          115.0000    9,529.2403      43.0000          115.0000      9,529.2403        43.0000              115.0000      9,529.2403        46.0000              115.0000      9,529.2403        49.0000              115.0000      9,529.2403        52.0000              115.0000      9,529.2403        56.0000              115.0000      9,529.2403        60.0000              115.0000      9,529.2403        64.0000              115.0000   0.3739   0.3739
26     9,514.6516     19.0000          119.0000    9,514.6516     23.0000          119.0000    9,514.6516     27.0000          119.0000    9,514.6516     25.0000          119.0000    9,514.6516     28.0000          119.0000    9,514.6516     27.0000          119.0000    9,514.6516     38.0000          119.0000    9,514.6516     32.0000          119.0000    9,514.6516     35.0000          119.0000    9,514.6516      39.0000          119.0000      9,514.6516        39.0000              119.0000      9,514.6516        42.0000              119.0000      9,514.6516        44.0000              119.0000      9,514.6516        48.0000              119.0000      9,514.6516        51.0000              119.0000      9,514.6516        55.0000              119.0000      9,514.6516        59.0000              119.0000   0.3277   0.3277
27     9,524.8572     22.0000          124.0000    9,524.8572     26.0000          124.0000    9,524.8572     31.0000          124.0000    9,524.8572     29.0000          124.0000    9,524.8572     32.0000          124.0000    9,524.8572     31.0000          124.0000    9,524.8572     43.0000          124.0000    9,524.8572     37.0000          124.0000    9,524.8572     40.0000          124.0000    9,524.8572      44.0000          124.0000      9,524.8572        44.0000              124.0000      9,524.8572        47.0000              124.0000      9,524.8572        51.0000              124.0000      9,524.8572        54.0000              124.0000      9,524.8572        58.0000              124.0000      9,524.8572        62.0000              124.0000      9,524.8572        67.0000              124.0000   0.3548   0.3548
28     9,617.6299     33.0000          131.0000    9,617.6299     40.0000          131.0000    9,617.6299     47.0000          131.0000    9,617.6299     44.0000          131.0000    9,617.6299     48.0000          131.0000    9,617.6299     47.0000          131.0000    9,617.6299     66.0000          131.0000    9,617.6299     56.0000          131.0000    9,617.6299     61.0000          131.0000    9,617.6299      68.0000          131.0000      9,617.6299        68.0000              131.0000      9,617.6299        72.0000              131.0000      9,617.6299        78.0000              131.0000      9,617.6299        83.0000              131.0000      9,617.6299        89.0000              131.0000      9,617.6299        95.0000              131.0000      9,617.6299       102.0000              131.0000   0.5191   0.5191
29     9,546.4330     18.0000          136.0000    9,546.4330     21.0000          136.0000    9,546.4330     25.0000          136.0000    9,546.4330     24.0000          136.0000    9,546.4330     26.0000          136.0000    9,546.4330     25.0000          136.0000    9,546.4330     35.0000          136.0000    9,546.4330     30.0000          136.0000    9,546.4330     33.0000          136.0000    9,546.4330      36.0000          136.0000      9,546.4330        36.0000              136.0000      9,546.4330        39.0000              136.0000      9,546.4330        42.0000              136.0000      9,546.4330        45.0000              136.0000      9,546.4330        48.0000              136.0000      9,546.4330        51.0000              136.0000      9,546.4330        55.0000              136.0000   0.2647   0.2647
30     9,535.0952     21.0000          140.0000    9,535.0952     25.0000          140.0000    9,535.0952     30.0000          140.0000    9,535.0952     28.0000          140.0000    9,535.0952     31.0000          140.0000    9,535.0952     30.0000          140.0000    9,535.0952     42.0000          140.0000    9,535.0952     36.0000          140.0000    9,535.0952     39.0000          140.0000    9,535.0952      43.0000          140.0000      9,535.0952        43.0000              140.0000      9,535.0952        46.0000              140.0000      9,535.0952        49.0000              140.0000      9,535.0952        53.0000              140.0000      9,535.0952        56.0000              140.0000      9,535.0952        60.0000              140.0000      9,535.0952        65.0000              140.0000   0.3071   0.3071
31     9,543.0689     36.0000          145.0000    9,543.0689     43.0000          145.0000    9,543.0689     50.0000          145.0000    9,543.0689     48.0000          145.0000    9,543.0689     52.0000          145.0000    9,543.0689     50.0000          145.0000    9,543.0689     71.0000          145.0000    9,543.0689     61.0000          145.0000    9,543.0689     66.0000          145.0000    9,543.0689      73.0000          145.0000      9,543.0689        73.0000              145.0000      9,543.0689        78.0000              145.0000      9,543.0689        84.0000              145.0000      9,543.0689        89.0000              145.0000      9,543.0689        96.0000              145.0000      9,543.0689       103.0000              145.0000      9,543.0689       110.0000              145.0000   0.5034   0.5034
32     9,522.6091     20.0000          150.0000    9,522.6091     24.0000          150.0000    9,522.6091     28.0000          150.0000    9,522.6091     26.0000          150.0000    9,522.6091     29.0000          150.0000    9,522.6091     28.0000          150.0000    9,522.6091     39.0000          150.0000    9,522.6091     33.0000          150.0000    9,522.6091     36.0000          150.0000    9,522.6091      40.0000          150.0000      9,522.6091        40.0000              150.0000      9,522.6091        43.0000              150.0000      9,522.6091        46.0000              150.0000      9,522.6091        49.0000              150.0000      9,522.6091        53.0000              150.0000      9,522.6091        57.0000              150.0000      9,522.6091        61.0000              150.0000   0.2667   0.2667
