,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
33,"1,316,812.0613","1,968.0000","56,229.0000","1,316,812.0613","1,968.0000","56,229.0000","1,462,978.2001","2,186.0000","62,471.0000","1,559,105.4806","2,330.0000","66,576.0000","1,445,859.6433","2,160.0000","61,740.0000","1,445,859.6433","2,160.0000","61,740.0000","1,445,859.6433","2,160.0000","61,740.0000",0.0350,0.0350
34,"1,321,875.8830","1,718.0000","59,541.0000","1,321,875.8830","1,718.0000","59,541.0000","1,468,604.1060","1,909.0000","66,150.0000","1,565,101.0455","2,034.0000","70,497.0000","1,451,419.7195","1,887.0000","65,376.0000","1,451,419.7195","1,887.0000","65,376.0000","1,451,419.7195","1,887.0000","65,376.0000",0.0289,0.0289
35,"1,319,564.0653","2,290.0000","61,810.0000","1,319,564.0653","2,290.0000","61,810.0000","1,466,035.6765","2,545.0000","68,671.0000","1,562,363.8533","2,712.0000","73,183.0000","1,448,881.3437","2,515.0000","67,867.0000","1,448,881.3437","2,515.0000","67,867.0000","1,448,881.3437","2,515.0000","67,867.0000",0.0370,0.0370
36,"1,318,576.1664","2,248.0000","62,537.0000","1,318,576.1664","2,248.0000","62,537.0000","1,464,938.1209","2,498.0000","69,479.0000","1,561,194.1810","2,662.0000","74,044.0000","1,447,796.6307","2,468.0000","68,666.0000","1,447,796.6307","2,468.0000","68,666.0000","1,447,796.6307","2,468.0000","68,666.0000",0.0359,0.0359
37,"1,319,132.2795","2,328.0000","64,936.0000","1,319,132.2795","2,328.0000","64,936.0000","1,465,555.9626","2,587.0000","72,144.0000","1,561,852.6190","2,757.0000","76,885.0000","1,448,407.2429","2,557.0000","71,300.0000","1,448,407.2429","2,557.0000","71,300.0000","1,448,407.2429","2,557.0000","71,300.0000",0.0359,0.0359
38,"1,320,058.0147","2,659.0000","67,658.0000","1,320,058.0147","2,659.0000","67,658.0000","1,466,584.4543","2,954.0000","75,168.0000","1,562,948.6894","3,148.0000","80,107.0000","1,449,423.7001","2,920.0000","74,288.0000","1,449,423.7001","2,920.0000","74,288.0000","1,449,423.7001","2,920.0000","74,288.0000",0.0393,0.0393
39,"1,319,859.7629","2,555.0000","70,342.0000","1,319,859.7629","2,555.0000","70,342.0000","1,466,364.1966","2,839.0000","78,150.0000","1,562,713.9592","3,025.0000","83,285.0000","1,449,206.0196","2,806.0000","77,236.0000","1,449,206.0196","2,806.0000","77,236.0000","1,449,206.0196","2,806.0000","77,236.0000",0.0363,0.0363
40,"1,316,983.4315","3,077.0000","73,262.0000","1,316,983.4315","3,077.0000","73,262.0000","1,463,168.5924","3,418.0000","81,394.0000","1,559,308.3829","3,643.0000","86,742.0000","1,446,047.8078","3,378.0000","80,442.0000","1,446,047.8078","3,378.0000","80,442.0000","1,446,047.8078","3,378.0000","80,442.0000",0.0420,0.0420
41,"1,321,188.7221","3,250.0000","75,218.0000","1,321,188.7221","3,250.0000","75,218.0000","1,467,840.6702","3,611.0000","83,568.0000","1,564,287.4469","3,848.0000","89,059.0000","1,450,665.2168","3,569.0000","82,590.0000","1,450,665.2168","3,569.0000","82,590.0000","1,450,665.2168","3,569.0000","82,590.0000",0.0432,0.0432
42,"1,318,927.3073","2,897.0000","77,266.0000","1,318,927.3073","2,897.0000","77,266.0000","1,465,328.2384","3,218.0000","85,842.0000","1,561,609.9319","3,430.0000","91,483.0000","1,448,182.1834","3,181.0000","84,838.0000","1,448,182.1834","3,181.0000","84,838.0000","1,448,182.1834","3,181.0000","84,838.0000",0.0375,0.0375
43,"1,320,177.3018","3,018.0000","78,745.0000","1,320,177.3018","3,018.0000","78,745.0000","1,466,716.9823","3,353.0000","87,486.0000","1,563,089.9253","3,573.0000","93,234.0000","1,449,554.6774","3,314.0000","86,462.0000","1,449,554.6774","3,314.0000","86,462.0000","1,449,554.6774","3,314.0000","86,462.0000",0.0383,0.0383
44,"1,318,497.2017","3,883.0000","80,775.0000","1,318,497.2017","3,883.0000","80,775.0000","1,464,850.3911","4,314.0000","89,741.0000","1,561,100.6868","4,598.0000","95,638.0000","1,447,709.9275","4,263.0000","88,691.0000","1,447,709.9275","4,263.0000","88,691.0000","1,447,709.9275","4,263.0000","88,691.0000",0.0481,0.0481
45,"1,320,133.6192","2,805.0000","82,902.0000","1,320,133.6192","2,806.0000","82,902.0000","1,466,668.4509","3,118.0000","92,104.0000","1,563,038.2051","3,323.0000","98,156.0000","1,449,506.7139","3,081.0000","91,026.0000","1,449,506.7139","3,081.0000","91,026.0000","1,449,506.7139","3,081.0000","91,026.0000",0.0338,0.0338
46,"1,319,448.1383","2,012.0000","85,492.0000","1,319,448.1383","2,012.0000","85,492.0000","1,465,906.8817","2,235.0000","94,982.0000","1,562,226.5958","2,382.0000","101,223.0000","1,448,754.0559","2,209.0000","93,870.0000","1,448,754.0559","2,209.0000","93,870.0000","1,448,754.0559","2,209.0000","93,870.0000",0.0235,0.0235
47,"1,318,823.1411","1,500.0000","87,968.0000","1,318,823.1411","1,500.0000","87,968.0000","1,465,212.5098","1,666.0000","97,732.0000","1,561,486.5991","1,776.0000","104,154.0000","1,448,067.8089","1,647.0000","96,589.0000","1,448,067.8089","1,647.0000","96,589.0000","1,448,067.8089","1,647.0000","96,589.0000",0.0171,0.0171
48,"1,317,104.3987","1,600.0000","90,899.0000","1,317,104.3987","1,600.0000","90,899.0000","1,463,302.9870","1,778.0000","100,989.0000","1,559,451.6081","1,895.0000","107,624.0000","1,446,180.6298","1,757.0000","99,807.0000","1,446,180.6298","1,757.0000","99,807.0000","1,446,180.6298","1,757.0000","99,807.0000",0.0176,0.0176
49,"1,321,568.4247",429.0000,"93,089.0000","1,321,568.4247",429.0000,"93,089.0000","1,468,262.5198",476.0000,"103,422.0000","1,564,737.0148",508.0000,"110,217.0000","1,451,082.1303",471.0000,"102,212.0000","1,451,082.1303",471.0000,"102,212.0000","1,451,082.1303",471.0000,"102,212.0000",0.0046,0.0046
50,"1,320,083.2162",678.0000,"93,746.0000","1,320,083.2162",678.0000,"93,746.0000","1,466,612.4532",753.0000,"104,152.0000","1,562,978.5280",802.0000,"110,995.0000","1,449,451.3714",744.0000,"102,933.0000","1,449,451.3714",744.0000,"102,933.0000","1,449,451.3714",744.0000,"102,933.0000",0.0072,0.0072
51,"1,318,387.9952","1,018.0000","95,523.0000","1,318,387.9952","1,018.0000","95,523.0000","1,464,729.0626","1,131.0000","106,126.0000","1,560,971.3863","1,205.0000","113,099.0000","1,447,590.0187","1,117.0000","104,884.0000","1,447,590.0187","1,117.0000","104,884.0000","1,447,590.0187","1,117.0000","104,884.0000",0.0107,0.0107
52,"1,320,357.0725","1,488.0000","98,025.0000","1,320,357.0725","1,488.0000","98,025.0000","1,466,916.7076","1,653.0000","108,906.0000","1,563,302.7738","1,762.0000","116,061.0000","1,449,752.0656","1,634.0000","107,631.0000","1,449,752.0656","1,634.0000","107,631.0000","1,449,752.0656","1,634.0000","107,631.0000",0.0152,0.0152
